company,difficulty,architecture,n,mean_overall_score,ci95_low,ci95_high,mean_latency_ms,p95_latency_ms,judge_error_count,best_architecture_for_group,practical_interpretation
Hosting / Cloud Provider,complex,agentic_graph_rag,30,0.7035170508333048,0.664708478511432,0.7429725893769653,2437.7,2900.6499999999996,0,traditional_rag,performance is practically tied with best architecture
Hosting / Cloud Provider,complex,agentic_rag,30,0.703739273055527,0.6641809823312161,0.7440194988398152,2398.766666666667,3160.3999999999996,0,traditional_rag,performance is practically tied with best architecture
Hosting / Cloud Provider,complex,traditional_rag,30,0.7056559397221936,0.6665810528413152,0.7448986875054133,2879.4666666666667,3051.3,0,traditional_rag,best mean score in this stratum
Hosting / Cloud Provider,medium,agentic_graph_rag,30,0.8023258262008913,0.7686761146632101,0.8344043732430457,8356.6,3349.7999999999993,0,agentic_graph_rag,best mean score in this stratum
Hosting / Cloud Provider,medium,agentic_rag,30,0.7954508262008914,0.7621275175672774,0.8272266620531799,2350.4666666666667,3092.4999999999986,0,agentic_graph_rag,performance is practically tied with best architecture
Hosting / Cloud Provider,medium,traditional_rag,30,0.7921869373120025,0.7561925561450216,0.826586643978155,2590.3,3477.0499999999993,0,agentic_graph_rag,trails best architecture by 0.0101 mean score
Hosting / Cloud Provider,simple,agentic_graph_rag,40,0.8299117037874029,0.8000255414454966,0.8575068678450928,2239.1,3243.2,0,traditional_rag,performance is practically tied with best architecture
Hosting / Cloud Provider,simple,agentic_rag,40,0.8353283704540695,0.8075986502252716,0.8611430271845559,3241.825,4039.299999999969,0,traditional_rag,performance is practically tied with best architecture
Hosting / Cloud Provider,simple,traditional_rag,40,0.8355367037874029,0.809556059386695,0.8597681086677023,2680.75,4745.149999999992,0,traditional_rag,best mean score in this stratum
PaySathi Wallet / FinTech Payment Company,complex,agentic_graph_rag,30,0.7368281159029115,0.7013255862133551,0.7719478495835477,2939.8,4060.2999999999993,0,agentic_graph_rag,best mean score in this stratum
PaySathi Wallet / FinTech Payment Company,complex,agentic_rag,30,0.7360642270140226,0.7020306220986495,0.7700601086736515,2680.1,3460.3,0,agentic_graph_rag,performance is practically tied with best architecture
PaySathi Wallet / FinTech Payment Company,complex,traditional_rag,30,0.7343558936806893,0.6975501549102382,0.7703818562612614,2753.3,3639.2,0,agentic_graph_rag,performance is practically tied with best architecture
PaySathi Wallet / FinTech Payment Company,medium,agentic_graph_rag,30,0.757870506134425,0.7213195157277559,0.7944786099788737,2965.4,4235.049999999999,0,agentic_graph_rag,best mean score in this stratum
PaySathi Wallet / FinTech Payment Company,medium,agentic_rag,30,0.754856617245536,0.7182140848943226,0.7914163669588261,2438.6,2875.6499999999996,0,agentic_graph_rag,performance is practically tied with best architecture
PaySathi Wallet / FinTech Payment Company,medium,traditional_rag,30,0.7504955061344248,0.7136848780221561,0.7865471892287227,2594.9,3700.549999999999,0,agentic_graph_rag,performance is practically tied with best architecture
PaySathi Wallet / FinTech Payment Company,simple,agentic_graph_rag,40,0.7608677813237151,0.7226658123702112,0.7985119905399206,2817.2,3693.199999999994,0,agentic_graph_rag,best mean score in this stratum
PaySathi Wallet / FinTech Payment Company,simple,agentic_rag,40,0.7582323646570485,0.7186147483397216,0.7965240961303564,2668.75,3791.4,0,agentic_graph_rag,performance is practically tied with best architecture
PaySathi Wallet / FinTech Payment Company,simple,traditional_rag,40,0.7580969479903817,0.7186808786214876,0.7959898930948199,2572.175,3591.9499999999994,0,agentic_graph_rag,performance is practically tied with best architecture
QuickCommerce / E-commerce Company,complex,agentic_graph_rag,30,0.782386258111315,0.7504003213587511,0.8140767953066669,2480.2,3798.8499999999995,0,traditional_rag,performance is practically tied with best architecture
QuickCommerce / E-commerce Company,complex,agentic_rag,30,0.7818445914446485,0.7516433525236752,0.8122217463795651,3038.633333333333,4116.399999999999,0,traditional_rag,performance is practically tied with best architecture
QuickCommerce / E-commerce Company,complex,traditional_rag,30,0.7833445914446483,0.7548732011955369,0.8123040748307273,2316.4,3061.8499999999995,0,traditional_rag,best mean score in this stratum
QuickCommerce / E-commerce Company,medium,agentic_graph_rag,30,0.8571059214372899,0.8329526187155738,0.8795798222289115,2101.233333333333,2565.8999999999996,0,traditional_rag,performance is practically tied with best architecture
QuickCommerce / E-commerce Company,medium,agentic_rag,30,0.8593142547706233,0.8336763572671869,0.8821400130574933,2396.733333333333,3288.4499999999994,0,traditional_rag,performance is practically tied with best architecture
QuickCommerce / E-commerce Company,medium,traditional_rag,30,0.8603975881039566,0.8369851316866843,0.881400343732119,2094.633333333333,2628.7999999999997,0,traditional_rag,best mean score in this stratum
QuickCommerce / E-commerce Company,simple,agentic_graph_rag,40,0.8533361739816903,0.8251454410227967,0.8796713038443669,2228.3,2983.7999999999997,0,agentic_rag,performance is practically tied with best architecture
QuickCommerce / E-commerce Company,simple,agentic_rag,40,0.8533986739816901,0.8243747051520377,0.8805172705714772,2392.55,3377.1499999999996,0,agentic_rag,best mean score in this stratum
QuickCommerce / E-commerce Company,simple,traditional_rag,40,0.8514090906483569,0.8196984503532857,0.880453777689886,2256.75,2951.3999999999996,0,agentic_rag,performance is practically tied with best architecture
