architecture,metric,n,mean,median,std,min,max,p25,p75,ci95_low,ci95_high,latency_mean,latency_median,latency_p95,latency_p99
agentic_graph_rag,overall_score,300,0.7898854557410548,0.8185734183611124,0.10956336107640006,0.4890547939847509,0.9531404583366092,0.6984464797013838,0.8810993055776943,0.7773670223398004,0.8025044224413822,,,,
agentic_graph_rag,context_precision,300,0.5158333333333334,0.5,0.3958914907695897,0.0,1.0,0.0,1.0,0.4708333333333333,0.56,,,,
agentic_graph_rag,context_recall,300,0.74,1.0,0.43936713379686193,0.0,1.0,0.0,1.0,0.69,0.79,,,,
agentic_graph_rag,context_relevancy,300,0.04877251379841241,0.049004204582562785,0.021282352195531692,0.0,0.11641800995614555,0.03343111713325618,0.061327188732045755,0.04638557329709099,0.05117635399747106,,,,
agentic_graph_rag,hit_rate_at_k,300,0.74,1.0,0.43936713379686193,0.0,1.0,0.0,1.0,0.69,0.79,,,,
agentic_graph_rag,mrr_at_k,300,0.6177777777777778,1.0,0.4375413837906296,0.0,1.0,0.0,1.0,0.5680555555555555,0.6675,,,,
agentic_graph_rag,ndcg_at_k,300,0.6436339795424589,0.9060254355346823,0.41691032748102536,0.0,1.0,0.0,1.0,0.5961821902276575,0.6910186973608439,,,,
agentic_graph_rag,average_retrieved_chunks,300,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,
agentic_graph_rag,faithfulness,300,0.7244666666666667,0.85,0.2888948765923224,0.0,1.0,0.55,0.95,0.6913658333333333,0.7565008333333333,,,,
agentic_graph_rag,answer_relevancy,300,0.7579666666666666,0.85,0.2461384692451861,0.0,1.0,0.6874999999999999,0.95,0.7294983333333334,0.7852675,,,,
agentic_graph_rag,answer_correctness,300,0.6649333333333333,0.7,0.24807687519984328,0.0,1.0,0.5,0.85,0.6369325,0.6928675,,,,
agentic_graph_rag,answer_completeness,300,0.49179999999999996,0.55,0.2309195519328819,0.0,0.9,0.3,0.7,0.4659316666666667,0.5180341666666667,,,,
agentic_graph_rag,policy_compliance,300,0.8205666666666667,0.85,0.12428260581937067,0.2,1.0,0.75,0.9,0.8059333333333334,0.8345,,,,
agentic_graph_rag,hallucination_rate,300,0.2755333333333333,0.15000000000000002,0.2888948765923224,0.0,1.0,0.050000000000000044,0.44999999999999996,0.24349916666666666,0.30863416666666665,,,,
agentic_graph_rag,romanized_query_understanding,300,0.8338666666666666,0.9,0.22345953272297753,0.0,1.0,0.85,0.95,0.8073325,0.8585333333333334,,,,
agentic_graph_rag,code_mixed_handling,300,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
agentic_graph_rag,intent_classification_accuracy,300,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
agentic_graph_rag,company_domain_accuracy,300,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
agentic_graph_rag,escalation_correctness,300,0.75,1.0,0.37812245189721616,0.0,1.0,0.5,1.0,0.7066666666666667,0.7916666666666666,,,,
agentic_graph_rag,tone_appropriateness,300,0.8831666666666667,0.9,0.06416668476450829,0.4,1.0,0.85,0.9,0.8757325000000001,0.8902,,,,
agentic_graph_rag,latency_ms,300,3099.3733333333334,2354.5,10509.646311807383,1420.0,184012.0,2112.0,2662.0,2426.0745,4358.878333333333,3099.3733333333334,2354.5,3569.7,7478.159999999995
agentic_graph_rag,success,300,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
agentic_graph_rag,failure,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
agentic_rag,overall_score,300,0.7893882335188326,0.8157861430451182,0.10953435241039926,0.4973881273180842,0.9538316285024481,0.6980350235864864,0.8835986411023878,0.7769031046001427,0.8019144414359349,,,,
agentic_rag,context_precision,300,0.5158333333333334,0.5,0.3958914907695897,0.0,1.0,0.0,1.0,0.4708333333333333,0.56,,,,
agentic_rag,context_recall,300,0.74,1.0,0.43936713379686193,0.0,1.0,0.0,1.0,0.69,0.79,,,,
agentic_rag,context_relevancy,300,0.04877251379841241,0.049004204582562785,0.021282352195531692,0.0,0.11641800995614555,0.03343111713325618,0.061327188732045755,0.04638557329709099,0.05117635399747106,,,,
agentic_rag,hit_rate_at_k,300,0.74,1.0,0.43936713379686193,0.0,1.0,0.0,1.0,0.69,0.79,,,,
agentic_rag,mrr_at_k,300,0.6177777777777778,1.0,0.4375413837906296,0.0,1.0,0.0,1.0,0.5680555555555555,0.6675,,,,
agentic_rag,ndcg_at_k,300,0.6436339795424589,0.9060254355346823,0.41691032748102536,0.0,1.0,0.0,1.0,0.5961821902276575,0.6910186973608439,,,,
agentic_rag,average_retrieved_chunks,300,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,
agentic_rag,faithfulness,300,0.7226333333333333,0.85,0.2929587256571896,0.0,1.0,0.55,0.95,0.6895316666666667,0.7559666666666667,,,,
agentic_rag,answer_relevancy,300,0.7535666666666666,0.85,0.24124318256204552,0.0,1.0,0.6874999999999999,0.92,0.7256,0.7806008333333333,,,,
agentic_rag,answer_correctness,300,0.6584333333333333,0.7,0.2475577272407608,0.0,1.0,0.5,0.85,0.6297666666666667,0.6864666666666667,,,,
agentic_rag,answer_completeness,300,0.49373333333333336,0.55,0.22910629528091697,0.0,0.9,0.33749999999999997,0.7,0.4681658333333333,0.5201666666666667,,,,
agentic_rag,policy_compliance,300,0.8151666666666667,0.85,0.13609818001808968,0.2,1.0,0.74,0.9,0.7994641666666666,0.8304,,,,
agentic_rag,hallucination_rate,300,0.2773666666666667,0.15000000000000002,0.29295872565718967,0.0,1.0,0.050000000000000044,0.44999999999999996,0.24403333333333335,0.31046833333333335,,,,
agentic_rag,romanized_query_understanding,300,0.8347333333333333,0.9,0.21403027531495056,0.0,1.0,0.8474999999999999,0.95,0.8096,0.8585333333333334,,,,
agentic_rag,code_mixed_handling,300,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
agentic_rag,intent_classification_accuracy,300,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
agentic_rag,company_domain_accuracy,300,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
agentic_rag,escalation_correctness,300,0.7533333333333333,1.0,0.38031260978229514,0.0,1.0,0.5,1.0,0.7083333333333334,0.795,,,,
agentic_rag,tone_appropriateness,300,0.8850666666666666,0.9,0.05717714849414897,0.5,1.0,0.85,0.9,0.8783000000000001,0.8913675000000001,,,,
agentic_rag,latency_ms,300,2637.4133333333334,2351.0,1900.6997837767678,1535.0,26005.0,2119.25,2699.75,2454.7050833333333,2875.91425,2637.4133333333334,2351.0,3548.15,6753.23999999993
agentic_rag,success,300,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
agentic_rag,failure,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
traditional_rag,overall_score,300,0.7886493446299437,0.8157267644517274,0.1102615501279341,0.4973881273180842,0.9519293652468962,0.702872873478474,0.880580599707286,0.7759267335236898,0.8014028362108381,,,,
traditional_rag,context_precision,300,0.5158333333333334,0.5,0.3958914907695897,0.0,1.0,0.0,1.0,0.4708333333333333,0.56,,,,
traditional_rag,context_recall,300,0.74,1.0,0.43936713379686193,0.0,1.0,0.0,1.0,0.69,0.79,,,,
traditional_rag,context_relevancy,300,0.04877251379841241,0.049004204582562785,0.021282352195531692,0.0,0.11641800995614555,0.03343111713325618,0.061327188732045755,0.04638557329709099,0.05117635399747106,,,,
traditional_rag,hit_rate_at_k,300,0.74,1.0,0.43936713379686193,0.0,1.0,0.0,1.0,0.69,0.79,,,,
traditional_rag,mrr_at_k,300,0.6177777777777778,1.0,0.4375413837906296,0.0,1.0,0.0,1.0,0.5680555555555555,0.6675,,,,
traditional_rag,ndcg_at_k,300,0.6436339795424589,0.9060254355346823,0.41691032748102536,0.0,1.0,0.0,1.0,0.5961821902276575,0.6910186973608439,,,,
traditional_rag,average_retrieved_chunks,300,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,
traditional_rag,faithfulness,300,0.7180333333333333,0.85,0.2951817062215211,0.0,1.0,0.55,0.95,0.6842983333333335,0.7508341666666667,,,,
traditional_rag,answer_relevancy,300,0.7578666666666666,0.85,0.24234938892005065,0.0,1.0,0.65,0.95,0.7301333333333333,0.785135,,,,
traditional_rag,answer_correctness,300,0.6574,0.7,0.24497472397089334,0.0,1.0,0.5,0.85,0.629165,0.6850674999999999,,,,
traditional_rag,answer_completeness,300,0.48616666666666664,0.45,0.2309373922792308,0.0,0.9,0.35,0.7,0.45996583333333335,0.5124666666666667,,,,
traditional_rag,policy_compliance,300,0.8184333333333333,0.85,0.12579065885459248,0.2,1.0,0.75,0.9,0.8037325,0.8325,,,,
traditional_rag,hallucination_rate,300,0.2819666666666667,0.15000000000000002,0.2951817062215211,0.0,1.0,0.050000000000000044,0.44999999999999996,0.24916583333333334,0.31570166666666666,,,,
traditional_rag,romanized_query_understanding,300,0.8349,0.9,0.215311060660639,0.0,1.0,0.8,0.95,0.8096,0.8586674999999999,,,,
traditional_rag,code_mixed_handling,300,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
traditional_rag,intent_classification_accuracy,300,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
traditional_rag,company_domain_accuracy,300,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
traditional_rag,escalation_correctness,300,0.7466666666666667,1.0,0.3825047999203355,0.0,1.0,0.5,1.0,0.7016666666666667,0.7883333333333333,,,,
traditional_rag,tone_appropriateness,300,0.8840666666666668,0.9,0.06118776045080835,0.4,1.0,0.86,0.9,0.8768666666666667,0.8907333333333334,,,,
traditional_rag,latency_ms,300,2524.19,2353.0,1194.3660864218512,1441.0,18615.0,2119.5,2660.25,2409.4195833333333,2676.066166666667,2524.19,2353.0,3509.750000000001,4696.199999999975
traditional_rag,success,300,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
traditional_rag,failure,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
