architecture,failure_type,count,rate
agentic_graph_rag,retrieval miss,12,0.04
agentic_graph_rag,irrelevant retrieval,5,0.016666666666666666
agentic_graph_rag,partial answer,12,0.04
agentic_graph_rag,hallucinated policy,12,0.04
agentic_graph_rag,wrong company policy,0,0.0
agentic_graph_rag,wrong action recommendation,1,0.0033333333333333335
agentic_graph_rag,poor handling of complex Romanized Nepali,1,0.0033333333333333335
agentic_graph_rag,ambiguity not clarified,2,0.006666666666666667
agentic_graph_rag,over-answering,0,0.0
agentic_graph_rag,under-answering,0,0.0
agentic_graph_rag,latency overhead without quality gain,5,0.016666666666666666
agentic_rag,retrieval miss,14,0.04666666666666667
agentic_rag,irrelevant retrieval,9,0.03
agentic_rag,partial answer,14,0.04666666666666667
agentic_rag,hallucinated policy,13,0.043333333333333335
agentic_rag,wrong company policy,0,0.0
agentic_rag,wrong action recommendation,0,0.0
agentic_rag,poor handling of complex Romanized Nepali,2,0.006666666666666667
agentic_rag,ambiguity not clarified,4,0.013333333333333334
agentic_rag,over-answering,0,0.0
agentic_rag,under-answering,0,0.0
agentic_rag,latency overhead without quality gain,1,0.0033333333333333335
traditional_rag,retrieval miss,17,0.056666666666666664
traditional_rag,irrelevant retrieval,7,0.023333333333333334
traditional_rag,partial answer,17,0.056666666666666664
traditional_rag,hallucinated policy,14,0.04666666666666667
traditional_rag,wrong company policy,0,0.0
traditional_rag,wrong action recommendation,1,0.0033333333333333335
traditional_rag,poor handling of complex Romanized Nepali,2,0.006666666666666667
traditional_rag,ambiguity not clarified,6,0.02
traditional_rag,over-answering,0,0.0
traditional_rag,under-answering,0,0.0
traditional_rag,latency overhead without quality gain,0,0.0
